"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"YP4","YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2414","6,7203","15,4022","16,5136","26,8571","-","-"
"NBZ","NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3483","6,8605","15,0611","16,3118","26,8565","174,1274","-"
"ONS","İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2491","6,7363","15,4004","16,4920","26,5277","-","-"
"DBP","DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,5826","12,2983","15,9154","17,4620","26,4391","412,1158","746,9944"
"IMF","İSTANBUL PORTFÖY MAESTRO SERBEST FON","Serbest Şemsiye Fonu","0,1472","5,9924","14,5167","14,9831","26,4192","181,6725","338,1938"
"FBI","FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2151","6,6576","15,2758","16,3554","26,3542","-","-"
"HBN","HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","9,0457","12,1750","16,7432","20,4338","26,1593","-","-"
"ZPC","ZİRAAT PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","10,7831","17,0550","20,9171","21,2713","26,1254","291,0444","673,5576"
"GUV","GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","5,4875","12,7355","6,9938","12,6110","25,9264","-","-"
"OJB","QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2047","6,5849","15,2610","16,3555","25,9245","141,3607","-"
"ZCK","ZİRAAT PORTFÖY ÇOKLU VARLIK İKİNCİ KATILIM FONU","Katılım Şemsiye Fonu","11,6848","13,1815","11,9399","10,6285","25,7904","-","-"
"NVC","NEO PORTFÖY VENTO SERBEST FON","Serbest Şemsiye Fonu","6,8169","14,8479","12,8220","14,6839","25,7489","-","-"
"BNC","AK PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","5,1180","13,1374","8,7234","15,9311","25,6918","-","-"
"RBR","RE-PIE  PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","3,5050","5,6516","20,6666","22,3645","25,6886","-","-"
"BVV","BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,2039","37,9227","22,5085","26,9883","25,6808","-","-"
